time,setpoint,temperature,control
36.1,50,50.0771,0
36.2,50,49.6764,8.0504
36.3,50,50.0846,0
36.4,50,49.6838,8.04787
36.5,50,50.0917,0
36.6,50,49.6908,8.04539
36.7,50,50.0985,0
36.8,50,49.6975,8.04297
36.9,50,50.1048,0
37,50,49.7037,8.04063
37.1,50,50.1108,0
37.2,50,49.7097,8.03837
37.3,50,50.1164,0
37.4,50,49.7152,8.0362
37.5,50,50.1217,0
37.6,50,49.7205,8.03412
37.7,50,50.1267,0
37.8,50,49.7254,8.03213
37.9,50,50.1314,0
38,50,49.7301,8.03024
38.1,50,50.1358,0
38.2,50,49.7344,8.02844
38.3,50,50.1399,0
38.4,50,49.7385,8.02673
38.5,50,50.1438,0
38.6,50,49.7424,8.02511
38.7,50,50.1475,0
38.8,50,49.746,8.02357
38.9,50,50.1509,0
39,50,49.7494,8.02212
39.1,50,50.1541,0
39.2,50,49.7526,8.02076
39.3,50,50.1571,0
39.4,50,49.7555,8.01947
39.5,50,50.1599,0
39.6,50,49.7583,8.01825
39.7,50,50.1626,0
39.8,50,49.761,8.01711
39.9,50,50.1651,0
40,50,49.7634,8.01603
40.1,50,50.1674,0
40.2,50,49.7657,8.01502
40.3,50,50.1695,0
40.4,50,49.7678,8.01407
40.5,50,50.1716,0
40.6,50,49.7699,8.01317
40.7,50,50.1735,0
40.8,50,49.7717,8.01233
40.9,50,50.1753,0
41,50,49.7735,8.01155
41.1,50,50.1769,0
41.2,50,49.7752,8.01081
41.3,50,50.1785,0
41.4,50,49.7767,8.01012
41.5,50,50.1799,0
41.6,50,49.7781,8.00947
41.7,50,50.1813,0
41.8,50,49.7795,8.00886
41.9,50,50.1826,0
42,50,49.7808,8.00829
42.1,50,50.1838,0
42.2,50,49.7819,8.00776
42.3,50,50.1849,0
42.4,50,49.7831,8.00725
42.5,50,50.186,0
42.6,50,49.7841,8.00679
42.7,50,50.1869,0
42.8,50,49.7851,8.00635
42.9,50,50.1878,0
43,50,49.786,8.00594
43.1,50,50.1887,0
43.2,50,49.7868,8.00555
43.3,50,50.1895,0
43.4,50,49.7876,8.00519
43.5,50,50.1902,0
43.6,50,49.7883,8.00486
43.7,50,50.1909,0
43.8,50,49.789,8.00454
43.9,50,50.1916,0
44,50,49.7897,8.00425
44.1,50,50.1922,0
44.2,50,49.7903,8.00397
44.3,50,50.1928,0
44.4,50,49.7909,8.00371
44.5,50,50.1933,0
44.6,50,49.7914,8.00347
44.7,50,50.1938,0
44.8,50,49.7919,8.00325
44.9,50,50.1943,0
45,50,49.7923,8.00304
45.1,50,50.1947,0
45.2,50,49.7928,8.00284
45.3,50,50.1951,0
45.4,50,49.7932,8.00265
45.5,50,50.1955,0
45.6,50,49.7936,8.00248
45.7,50,50.1959,0
45.8,50,49.7939,8.00232
45.9,50,50.1962,0
46,50,49.7942,8.00217
46.1,50,50.1965,0
46.2,50,49.7946,8.00203
46.3,50,50.1968,0
46.4,50,49.7948,8.0019
46.5,50,50.1971,0
46.6,50,49.7951,8.00177
46.7,50,50.1973,0
46.8,50,49.7954,8.00166
46.9,50,50.1976,0
47,50,49.7956,8.00155
47.1,50,50.1978,0
47.2,50,49.7958,8.00145
47.3,50,50.198,0
47.4,50,49.796,8.00135
47.5,50,50.1982,0
47.6,50,49.7962,8.00127
47.7,50,50.1984,0
47.8,50,49.7964,8.00118
47.9,50,50.1986,0
48,50,49.7966,8.00111
48.1,50,50.1987,0
48.2,50,49.7967,8.00103
48.3,50,50.1989,0
48.4,50,49.7969,8.00097
48.5,50,50.199,0
48.6,50,49.797,8.0009
48.7,50,50.1991,0
48.8,50,49.7971,8.00085
48.9,50,50.1993,0
49,50,49.7973,8.00079
49.1,50,50.1994,0
49.2,50,49.7974,8.00074
49.3,50,50.1995,0
49.4,50,49.7975,8.00069
49.5,50,50.1996,0
49.6,50,49.7976,8.00065
49.7,50,50.1997,0
49.8,50,49.7977,8.0006
49.9,50,50.1998,0
50,50,49.7978,8.00056
50.1,50,50.1998,0
50.2,50,49.7978,8.00053
50.3,50,50.1999,0
50.4,50,49.7979,8.00049
50.5,50,50.2,0
50.6,50,49.798,8.00046
50.7,50,50.2001,0
50.8,50,49.7981,8.00043
50.9,50,50.2001,0
51,50,49.7981,8.0004
51.1,50,50.2002,0
51.2,50,49.7982,8.00038
51.3,50,50.2002,0
51.4,50,49.7982,8.00035
51.5,50,50.2003,0
51.6,50,49.7983,8.00033
51.7,50,50.2003,0
51.8,50,49.7983,8.00031
51.9,50,50.2004,0
52,50,49.7984,8.00029
52.1,50,50.2004,0
52.2,50,49.7984,8.00027
52.3,50,50.2004,0
52.4,50,49.7984,8.00025
52.5,50,50.2005,0
52.6,50,49.7985,8.00023
52.7,50,50.2005,0
52.8,50,49.7985,8.00022
52.9,50,50.2006,0
53,50,49.7985,8.00021
53.1,50,50.2006,0
53.2,50,49.7986,8.00019
53.3,50,50.2006,0
53.4,50,49.7986,8.00018
53.5,50,50.2006,0
53.6,50,49.7986,8.00017
53.7,50,50.2007,0
53.8,50,49.7987,8.00016
53.9,50,50.2007,0
54,50,49.7987,8.00015
54.1,50,50.2007,0
54.2,50,49.7987,8.00014
54.3,50,50.2007,0
54.4,50,49.7987,8.00013
54.5,50,50.2007,0
54.6,50,49.7987,8.00012
54.7,50,50.2008,0
54.8,50,49.7988,8.00011
54.9,50,50.2008,0
55,50,49.7988,8.0001
55.1,50,50.2008,0
55.2,50,49.7988,8.0001
55.3,50,50.2008,0
55.4,50,49.7988,8.00009
55.5,50,50.2008,0
55.6,50,49.7988,8.00009
55.7,50,50.2008,0
55.8,50,49.7988,8.00008
55.9,50,50.2008,0
56,50,49.7988,8.00007
56.1,50,50.2009,0
56.2,50,49.7988,8.00007
56.3,50,50.2009,0
56.4,50,49.7989,8.00007
56.5,50,50.2009,0
56.6,50,49.7989,8.00006
56.7,50,50.2009,0
56.8,50,49.7989,8.00006
56.9,50,50.2009,0
57,50,49.7989,8.00005
57.1,50,50.2009,0
57.2,50,49.7989,8.00005
57.3,50,50.2009,0
57.4,50,49.7989,8.00005
57.5,50,50.2009,0
57.6,50,49.7989,8.00004
57.7,50,50.2009,0
57.8,50,49.7989,8.00004
57.9,50,50.2009,0
58,50,49.7989,8.00004
58.1,50,50.2009,0
58.2,50,49.7989,8.00004
58.3,50,50.2009,0
58.4,50,49.7989,8.00003
58.5,50,50.2009,0
58.6,50,49.7989,8.00003
58.7,50,50.2009,0
58.8,50,49.7989,8.00003
58.9,50,50.2009,0
59,50,49.7989,8.00003
59.1,50,50.2009,0
59.2,50,49.7989,8.00003
59.3,50,50.201,0
59.4,50,49.7989,8.00002
59.5,50,50.201,0
59.6,50,49.7989,8.00002
59.7,50,50.201,0
59.8,50,49.7989,8.00002
59.9,50,50.201,0
